doc_id,narrative_text,depression
doc_0655,"I've recently started getting into gardening, it's become my new hobby. I find it really relaxing to spend time outdoors, tending to plants and watching them grow. I even got some seeds from my last trip abroad, which was amazing by the way - the landscapes were breathtaking. Now that I'm back home, I've been thinking about rearranging my living space, maybe finding a bigger place with more room for my garden. It feels like a fresh start, you know? Sometimes it gets overwhelming with work and all, but when I'm surrounded by nature, I feel centered again. My friends say I seem more energetic lately, and I think they're right - I just feel more alive, I guess. There's still a lot going on, but for now, I'm enjoying this newfound sense of calm.",0
doc_0114,"I've just been really overwhelmed lately. My job has gotten so much busier since my promotion - I'm still getting used to all these new responsibilities. Sometimes it feels like I'm barely keeping up. And to make things worse, I've started noticing that I don't really go out with friends anymore. We used to grab dinner or see movies together all the time, but now it seems like months since we last caught up. I did start trying to eat healthier though, which has been good, and there was this amazing trip I went on recently that really helped me clear my head. It was great to get away from everything for a bit. But even with those positives, I still feel this underlying tension all the time. I wish I could find a way to manage my workload better so I can enjoy my free time without worrying about what needs to be done tomorrow.",0
doc_0025,"""I've just been really busy lately with work and trying to get everything sorted out at home. Sometimes it feels overwhelming, like there's this huge mountain in front of me that I'm not sure how to climb. But, you know, I'm managing. There was this one day last week when I had a bit of a rough morning - my car broke down on the way to work, which made me late for an important meeting. That was stressful. However, once I got into the office and started tackling my tasks, things seemed more manageable. My colleagues were supportive, and we worked together to catch up. It's funny, sometimes when these little things go wrong, I realize how much I rely on my routine to keep me grounded. It's like, without it, everything feels off balance. Despite all the chaos, though, I find moments where I can breathe, where I think, okay, I've got this.",0
doc_0760,"I've just been having trouble lately with my emotions, it feels like they're all over the place. One moment I'm fine, the next I'm overwhelmed. It's hard to explain, but sometimes I get caught up thinking about things that happened years ago, and it still bothers me. Like this one situation at work where I felt really misunderstood - it keeps popping into my head even though I know I handled it well at the time. Yesterday, I was cooking dinner and suddenly found myself replaying that whole scenario again. It's frustrating because I wish I could just let go of these thoughts. Sometimes, when I'm alone, I can feel my heart racing and I start worrying about everything that could possibly go wrong. I had a bit of a chaotic morning today, spilled coffee on my shirt before a meeting, which didn't help my mood. But despite all this, I'm managing to keep going and do what needs to be done.",0
doc_0281,"I've been having trouble sleeping lately. My mind just starts racing at night and I wake up feeling really anxious about all these things that might go wrong. It feels like my emotions are all over the place - one minute I'm fine, the next I'm getting worked up over something tiny. I find myself thinking about the same stuff over and over again, trying to make sense of it all. Lately, I moved into a new apartment and started trying out this new diet, so maybe that's added to the stress. I was also planning a trip abroad which got postponed, and now I'm not sure when I'll get to take it. Sometimes I feel overwhelmed by all these changes happening around me. But despite all this, I've been managing to keep going, you know? I just wish I could calm down a bit more and enjoy the little things without worrying so much about what's coming next.",0
doc_0250,"""I've just been feeling really down lately. Everything seems so bleak all the time. I find myself withdrawing from my friends and family more often than not - I guess it's easier to just be alone with my thoughts. Sometimes I try to distract myself by taking up this new hobby I found, painting. It can be calming, but even that doesn't seem to lift my mood like it used to. Lately, I started thinking about changing my diet, maybe eating healthier could help me feel better? And there was this one trip I took recently, it was nice while it lasted, but coming back home felt like a punch to the gut. It brought back memories of when I was younger... and things were tough. I don't know how to shake off this emptiness inside.",1
doc_0228,"I've just been dealing with so much lately. My mom came over last weekend, which was nice, but also kind of overwhelming. We had dinner together and talked about our plans for the summer. I'm thinking of taking a road trip out west, maybe stopping at some national parks. The idea really excites me, it feels like something I need right now. But then my car broke down yesterday, and I'm worried about how I'll afford to fix it. On top of that, work has been pretty stressful. There's this one project that I'm having trouble with, and I feel like I'm letting everyone down. Sometimes I wonder if all these little things are going to add up and become too much to handle. Despite everything, though, I still wake up each morning looking forward to the day ahead, even if it's just the small moments like sipping coffee in the quiet before anyone else wakes up. That gives me a sense of peace, you know? It's funny, sometimes when I'm walking home from work, I catch a glimpse of the sunset, and it reminds me of happier times, giving me a bit of hope for what's coming next.",0
doc_0142,"I've started trying out this new hobby of painting, it's really been something I look forward to every day. Lately, I decided to make some changes to my diet too, just little things like cutting back on sweets and drinking more water. It's funny how these small adjustments can add up, isn't it? Sometimes I find myself thinking about all the other things I could change, like maybe taking up gardening or learning a new language. But then I think, why rush into everything at once? For now, I'm just enjoying the process of exploring what works best for me. The other day, I was at the park and saw someone playing with their dog - it made me think about getting a pet someday. All these thoughts just kind of swirl around in my head, but in a good way, you know? It feels like I'm moving forward, even when things get busy or overwhelming. And yeah, sometimes life gets in the way, but I manage to stay on top of things, one step at a time.",0
doc_0755,"I've been having a lot of trouble sleeping lately, I just can't seem to relax at night. My mind starts racing about all these things that happened when I was younger, stuff I thought I'd long forgotten. It feels like it's all coming back up now. Sometimes I get so overwhelmed with work and other responsibilities, I don't know how I'm going to keep up. But somehow, I always manage to find a way forward. The other day, my neighbor had a really loud party that went late into the night, which didn't help with my sleep. Despite all this, I've been trying to focus on the good things in my life, like spending time outdoors and being around people I care about. It helps me stay grounded and reminds me that there's more to life than just the tough parts. I'm just taking things one day at a time and trying to enjoy the little moments.",0
doc_0104,"I've been trying to eat healthier lately. That's why I started making changes to my diet. It feels good to know I'm taking care of myself. Sometimes it can be hard when everyone around me seems to be eating all the foods I love, but I'm managing to stick with it. Lately, I've noticed that some days are easier than others - like yesterday was really easy, while today has been kind of tough. I think about food a lot now, which wasn't something I used to do before this change. It's just that sometimes these cravings hit me out of nowhere, especially after watching cooking videos online. Despite all this, I still feel pretty good about where I am right now. My energy levels seem better too, so maybe that's helping me deal with everything else going on. Generally, things are okay, and I'm just focusing on moving forward one day at a time.",0
doc_0693,"I've just felt really overwhelmed lately, like there's this constant weight on my shoulders. It started when I had some issues at work and then things got worse after I lost my grandma. She was always someone I could talk to, you know? Since she passed away, it feels like I'm missing a part of me. Sometimes I find myself withdrawing from friends and family, not because I don't want to see them, but because it all just feels too much. I try to focus on my routine, going to the gym, cooking meals, but even those things can feel like chores. I guess what's hardest is trying to find meaning in the little things again, like enjoying a walk without thinking about all the other stuff going on. It's weird, yesterday I saw a kid playing with his dog in the park and for a moment, it brought back happy memories. But mostly, it's just this sense of being stuck, like I'm waiting for something to change but I don't know what that is or how to make it happen.",0
doc_0759,"I've had a really tough week. My sister's visit was supposed to lift my mood, but it ended up being more stressful than anything else. We argued about stuff we always argue about, like mom and dad, and how we were raised. It brought back all these memories of when I was a kid, feeling scared and alone. Sometimes I wonder if things would've turned out differently if... never mind, it doesn't matter now. What does matter is trying to deal with the emotions that still linger from those times. Lately, I've been getting frustrated easily, little things set me off, and I find myself constantly questioning my decisions. At work, there's been this huge project due soon, and my boss has been breathing down my neck, which isn't helping. Despite all this, something inside me feels resilient, like I'm managing to keep my head above water, even when everything around me seems chaotic. Yesterday, I found solace in painting; it's one of the few things that calms me down. For a couple of hours, nothing else mattered, just the colors and the moment. That felt good, you know?",0
doc_0559,"I've been really struggling lately. Everything feels so overwhelming. I just can't seem to get out of this rut I'm in. It's like I'm walking around with a heavy weight inside me all the time. Sometimes it gets harder to breathe. I find myself getting caught up in thoughts about when things were tough growing up - my parents' constant arguing, moving from one place to another, never having friends for long. And now, with this new housing situation, it's all coming back up again. I just wish I could shake off these thoughts and feel like I can move forward without all this baggage holding me down. Lately, it's been hard to enjoy anything, even things I used to love. I just feel... really low, all the time. It's like nothing brings me joy anymore, and I don't know how to change that. Sometimes I wonder what's wrong with me, why I just can't be happy like everyone else seems to be.",1
doc_0089,"I've just been really busy lately with work. We're short-staffed so I'm taking on extra shifts which means I barely get any time for myself anymore. Sometimes I find it hard to sleep because my mind keeps racing about all the tasks I need to finish the next day. It feels like there's always something hanging over me, waiting to go wrong. My sister got married last weekend, and while it was nice to see her happy, I couldn't help but think about how much I'm struggling to keep up with my own responsibilities. The wedding reminded me of how little I've accomplished compared to her. When I do finally get some free time, I usually end up scrolling through social media and seeing everyone else's successes, which doesn't exactly make me feel better about my situation. 
Despite all this, I still manage to enjoy the small moments, like having coffee with friends or watching the sunset after a long day. These things remind me that life isn't all about work and stress, even though it feels that way most of the time. Sometimes, when I'm out walking, I'll notice a beautiful view or smell something amazing, and for a brief moment, everything else fades away, and I feel at peace. 
It's funny, I was talking to a friend the other day, and she mentioned how she loves listening to music while driving. Now I've started doing the same, and it's become one of those small pleasures that helps me unwind. Maybe I just need to focus more on these little joys and try to find ways to make them a bigger part of my life. 
I guess what I'm trying to say is that even with all the chaos, I'm finding ways to cope, to",0
doc_0605,"I've recently gotten a promotion at work, which has been really exciting. There's definitely more responsibility now, but it feels good to be recognized like this. I'm still getting used to my new role, so some days can be overwhelming. At home, we're actually moving into a bigger place soon, which I think will help with the stress from work. My partner and I are looking forward to having more space. Sometimes I worry about how all these changes will affect our relationship, but overall, things seem to be falling into place. Lately, I've noticed myself thinking more about long-term goals, both personally and professionally. It's strange, but I almost feel like I'm rediscovering what I want out of life. The other day, while unpacking boxes, I found an old photo album and spent hours going through it – it was nice to reminisce. My mind's been preoccupied with all these adjustments, but in a way, it feels like a fresh start.",0
doc_0432,"I've recently made some changes to my lifestyle. I started paying more attention to what I eat and even took up painting as a hobby. It's amazing how something like food can affect your mood, isn't it? Some days when I'm eating healthier, I notice I have more energy. But other times, it doesn't seem to make much difference. My friend has been trying to get me into this new restaurant downtown, so we went there last week. The food was great, but I didn't really feel any different afterwards. Lately, I've been thinking about how I spend my free time and I realized I needed something creative to do, which is why I picked up painting. It's been really fun and relaxing. Sometimes I worry that I might not be good enough at it, but that feeling usually passes quickly. Overall, things have been going alright, just the usual ups and downs of everyday life.",0
doc_0032,"I've been dealing with so much lately. My sister just got married and it was amazing seeing her happy, but now she's moved away and I miss her a lot. We were always close, you know? It feels weird without her around. At work, things have been pretty tough too - we're short-staffed and I'm having to take on extra responsibilities. Sometimes it gets overwhelming, but I like staying busy. Yesterday, my car broke down on the way home from work, which was frustrating, but thankfully a friend helped me out. I've also been trying to start exercising more regularly, hoping it'll help manage some of this stress. Despite all these ups and downs, I find myself looking forward to each day, thinking about what I can accomplish next. The other night, I started reading a book again, something I haven't done in ages, and it felt really nice to unwind like that. Life's definitely full of its challenges right now, but I'm managing okay.",0
doc_0030,"I've noticed myself pulling away from friends lately. We used to hang out every weekend, go to movies, try new restaurants... now it feels like too much effort. I just want to stay home, watch TV, and not think about anything. Sometimes my phone buzzes with texts from them, asking me to join in, but I ignore it. It's not that I don't enjoy their company, I do. But somehow, being around people exhausts me. I've also started to feel really overwhelmed by work. My boss keeps piling tasks on me and I'm worried I won't meet deadlines. On top of that, our office is moving to a new building next month, which means a longer commute for me. Lately, I've found solace in taking long walks alone after dinner. The fresh air helps clear my head, making it easier to tackle the next day's challenges.",0
