doc_id,response_value,early_adversity,chronic_stress,emotion_dysregulation,social_withdrawal,rumination,depression,active_dag_variables,noise_variables,narrative
doc_0000,1,1,1,1,1,0,1,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal,work_promotion|diet_change,"Growing up was traumatic—there was a lot of chaos at home and no real stability. Ever since then, I notice I struggle to stay steady; I've been depressed. That instability seems to follow me, and now the pressure has been relentless and it never lets up with my bills and my job. When this kind of constant stress hits, I find myself pulling away from everyone and isolating myself, just cutting people off entirely. I’ve also noticed that when the pressure builds up, my emotions are completely all over the place and I can't seem to level them out. It feels like those old patterns from my childhood leave me with this same inability to control my emotions when it gets bad. I've been trying to eat better lately, but regardless, I just feel overwhelmed by everything."
doc_0001,1,1,1,1,1,1,1,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal|rumination,,"Looking back, growing up was traumatic—there was a lot of chaos at home. Ever since then, I notice that I’ve been under constant stress; the pressure from my job and bills just never lets up. When the stress peaks, I find that my emotions are completely all over the place and I can't control them. This instability often leads to me pulling away from everyone and isolating myself. I've also noticed that whenever I can't pull myself together emotionally, or when I'm alone because I've cut people off, I can't stop going over the same thoughts again and again. My mind just repeats the same failures in an endless loop. All of this combined leaves me feeling empty; I am depressed. I did start a new exercise routine last month, but that doesn't change the way my head works. Because of that history of instability in my youth, I've always struggled to stay level, and it feels like it just feeds into everything else I'm dealing with now."
doc_0002,1,0,0,1,0,1,1,emotion_dysregulation|rumination,housing_change,"I’ve been struggling so much lately because I break down and can't pull myself together emotionally whenever something goes wrong. These episodes tend to leave me in a state where I keep replaying everything endlessly and can't shut it off, just looping through the same failures and regrets for hours on end. Once those cycles start, it feels impossible to break free from the mental loop. Because of this pattern, I feel depressed. I just don't have the energy to fight it anymore. I moved to a new place recently, but regardless of where I am, these patterns follow me. It starts with that initial loss of control, then the endless repetition in my head, and finally this heavy sense of hopelessness that takes over everything else. I just want to find a way to stop the cycle before it spirals this far."
doc_0003,0,0,1,0,0,0,0,chronic_stress,work_promotion|new_hobby,"I’ve been under constant stress—work, money, all of it—and the pressure has been relentless and it never lets up. It’s this heavy, grinding feeling that persists from the moment I wake up until I finally close my eyes at night. I feel it in my shoulders and my chest, just this permanent state of tension that doesn't fade regardless of the day of the week. It's become the baseline of my entire existence, and I can't seem to find a way to step away from it or catch my breath. On other notes, I got a promotion at work recently and I also started a new hobby. But despite those things, this sense of being overwhelmed by the demands of my life is always there, humming in the background and draining my energy. I just feel like I am constantly braced for the next crisis, waiting for the other shoe to drop while trying to manage everything on my plate."
doc_0004,1,1,1,1,0,1,1,early_adversity|chronic_stress|emotion_dysregulation|rumination,travel|new_hobby|work_promotion,"Growing up was traumatic—there was a lot of chaos at home. Ever since then, I notice that I've been under constant stress; the pressure from my bills and my job just never lets up. When that pressure builds, I find that my emotions are completely all over the place and I can't seem to steady myself. This instability tends to leave me in a state where I can't stop going over the same thoughts again and again, just looping through every failure and regret without any break. Because of those cycles, I feel depressed. I’ve tried to keep moving forward, and I even started a new hobby recently, but the internal struggle remains. My history seems to have set a pattern where I simply cannot control my emotions when it gets bad, which only feeds back into that endless mental repetition. It feels like a circle I can't escape, and it's exhausting to live with every single day."
doc_0005,0,0,0,1,0,1,0,emotion_dysregulation|rumination,work_promotion|housing_change|new_hobby,"It’s been a difficult few weeks because my emotions are completely all over the place. One minute I’m fine, and the next I’m overwhelmed by a wave of intensity that I just can't manage. When I break down like that and can't pull myself together emotionally, it tends to leave me in a state where I can't stop going over the same thoughts again and again. I'll spend hours replaying a single interaction or a specific mistake, looping through the same mental images and words without any way to shut it off. It becomes this endless cycle that occupies my entire mind long after the initial feeling has passed. On other fronts, things are just moving along; I moved to a new place recently, but that doesn't change how this works. I just feel stuck in these patterns where the emotional volatility triggers this repetitive thinking, and I don't know how to break the loop once it starts."
doc_0006,0,0,0,1,0,0,0,emotion_dysregulation,travel,"I’ve been struggling with how I react to things lately. Most of the time I function well, but then something small will happen and suddenly my emotions are completely all over the place. It isn't just feeling an emotion; it's that once the wave hits, I simply can't control it. I might go from being perfectly fine to feeling an overwhelming surge of anger or sadness in seconds, and once I'm in that state, I break down and can't pull myself together emotionally. It feels like there is no dial to turn the intensity down, and I just have to wait for the storm to pass while I feel totally powerless over my own reactions. I took a trip recently, which was fine. But regardless of where I am or what I'm doing, these episodes just happen. I want to figure out why I lack that internal brake system and how to stop these outbursts from taking over my entire day whenever they strike."
doc_0007,1,1,1,1,1,1,1,early_adversity|chronic_stress|emotion_dysregulation|social_withdrawal|rumination,,"Growing up was traumatic — there was a lot of chaos at home, and I think that’s why I've been under constant stress lately; the pressure from work and money just never lets up. Ever since those early years, I notice my emotions are completely all over the place, and when the stress peaks, I find myself breaking down and unable to pull myself together emotionally. This instability tends to leave me isolating, cancelling everything, and seeing no one. I’ve also noticed that when I can't control my feelings or when I'm alone in that silence, I can't stop going over the same thoughts again and again, just replaying every failure in a loop. All of this combined—the repetition in my head and the emptiness—has left me feeling depressed. I did start a new gym routine last month, which is just a fact of my schedule, but it doesn't change the cycle. I just feel stuck in these patterns and I don't know how to break them."
doc_0008,1,0,0,0,1,1,1,social_withdrawal|rumination,work_promotion|travel,"Lately, I've been isolating, cancelling everything, seeing no one. I just stop responding to texts and avoid any kind of gathering, even with the people I used to be closest to. Ever since I started pulling away from everyone, I notice that my mind keeps repeating the same mistakes and conversations; I just stay trapped in these mental loops for hours, replaying every interaction until I'm exhausted. This cycle of thinking tends to leave me in a place where I feel depressed. It’s become a heavy, constant presence in my daily life that I can't seem to shake regardless of what else is happening. On a separate note, I got a promotion at work recently, but that doesn't change how I'm feeling internally. I spend most of my weekends now just sitting in silence, unable to break out of those repetitive thoughts once they start, which only reinforces the desire to stay hidden away from the world."
doc_0009,0,0,0,1,0,0,0,emotion_dysregulation,,"It’s just that some days I feel like I have no filter for how I react to things. I’ll be fine one minute, and then something small happens and suddenly my emotions are completely all over the place. It isn't just feeling a mood; it's like a tidal wave hits and I can't find the brake. I might snap at someone or burst into tears, and once it starts, I just can't pull myself back to a baseline. It feels like I'm watching myself lose control from the outside, unable to steer the ship. I spend so much energy trying to figure out why the volume on my feelings is always turned up to ten. I did start taking a pottery class on Tuesday nights, which is just something I do. But regardless of what my week looks like, this pattern persists. I just want to get to a point where a minor inconvenience doesn't lead to an absolute emotional meltdown that takes hours to recover from."
