source,target,p_edge
adult_pressure,adverse_childhood_experiences,0.000000
adult_pressure,adverse_environmental_factors,0.000000
adult_pressure,adversity,0.000000
adult_pressure,analytical_thinking,0.000000
adult_pressure,anger,0.000000
adult_pressure,anxiety,0.000000
adult_pressure,anxiety_aftermath,0.000000
adult_pressure,anxiety_in_adult_relationships,0.000000
adult_pressure,atmosphere_management,0.000000
adult_pressure,avoidance,0.000000
adult_pressure,basic_security,0.000000
adult_pressure,behavioral_adjustment,0.000000
adult_pressure,budget_management,0.000000
adult_pressure,burden_absorption,0.000000
adult_pressure,burnout,0.000000
adult_pressure,capacity_to_engage,0.000000
adult_pressure,career_demands,0.000000
adult_pressure,career_progress,0.000000
adult_pressure,career_stress,0.000000
adult_pressure,chaos_at_home,0.000000
adult_pressure,chronic_stress,0.000000
adult_pressure,conflict_avoidance,0.000000
adult_pressure,contentment,0.000000
adult_pressure,control,0.000000
adult_pressure,coping_mechanism,0.000000
adult_pressure,creative_activity,0.000000
adult_pressure,crisis_anticipation,0.000000
adult_pressure,crisis_management,0.000000
adult_pressure,daily_grind,0.000000
adult_pressure,daily_life_balance,0.000000
adult_pressure,daily_routine,0.000000
adult_pressure,defensiveness,0.000000
adult_pressure,demands,0.000000
adult_pressure,demands_persistence,0.000000
adult_pressure,depression,0.000000
adult_pressure,desire_for_safety,0.000000
adult_pressure,desire_to_engage,0.000000
adult_pressure,dietary_changes,0.000000
adult_pressure,difficulty_functioning,0.000000
adult_pressure,difficulty_pivoting_attention,0.000000
adult_pressure,difficulty_self_regulation,0.000000
adult_pressure,disconnection_from_past_self,0.000000
adult_pressure,disconnection_from_world,0.000000
adult_pressure,distraction,0.000000
adult_pressure,eating_habits,0.000000
adult_pressure,embarrassment,0.000000
adult_pressure,emotional_bracing,0.000000
adult_pressure,emotional_breakdown,0.000000
adult_pressure,emotional_capacity,0.000000
adult_pressure,emotional_carryover,0.000000
adult_pressure,emotional_cycle,0.000000
adult_pressure,emotional_disconnection,0.000000
adult_pressure,emotional_distress,0.000000
adult_pressure,emotional_dysregulation,0.001660
adult_pressure,emotional_emptiness,0.000000
